回测数据基于币安usdt现货的分钟数据
para,累计净值,年化收益,最大回撤,年化收益回撤比
"[900, 3.1, 0.2]",464.6198457113164,4.430609795358115,-0.5860618165887677,7.559970074738753
"[580, 2.5, 0.2]",432.6915478241065,4.325122305491305,-0.6377209093429236,6.782155394509016
"[880, 3.1, 0.2]",322.58892204228357,3.911253342776181,-0.5860618165887677,6.673789747201121
"[900, 2.9, 0.2]",251.09926220260323,3.583679624133543,-0.5662982137324621,6.328255214710232
"[480, 2.5, 0.2]",303.51834350074785,3.829484085041358,-0.6299703136765227,6.078832608305607
"[880, 2.3, 0.1]",116.21913320274007,2.707088046917319,-0.46306409711929175,5.8460331167068125
"[80, 2.7, 0.1]",146.7687347010046,2.9532916668624924,-0.5076234357865952,5.817878881589021
"[500, 2.5, 0.2]",288.4079531725933,3.762009468828767,-0.6579757747725166,5.7175501182082495
"[80, 2.5, 0.1]",187.14941714649333,3.2270923866006562,-0.5700409171768339,5.661159206926845
"[900, 2.3, 0.1]",105.30791142850313,2.6077455921228965,-0.46306409711929175,5.631500279001559
"[960, 2.3, 0.2]",215.2139251252807,3.3929983233613985,-0.6219688855117356,5.455254117044378
"[880, 2.9, 0.2]",180.8009755881301,3.187089758167355,-0.5860618165887677,5.438146058922819
"[920, 2.9, 0.2]",167.40358619262193,3.0992070753751975,-0.5742794959859548,5.396687670442259
"[760, 2.7, 0.1]",88.32537106436943,2.4371037187099516,-0.45720009763657166,5.330496934073722
"[600, 2.5, 0.2]",223.3653483998424,3.438226746696923,-0.6745530952139795,5.097043911133874
"[680, 2.5, 0.1]",86.79016048645173,2.4205388746274843,-0.47905194894023495,5.052769078556579
"[100, 2.3, 0.2]",135.00629077623452,2.8633404671725917,-0.5732220938361791,4.995167663566898
"[480, 2.3, 0.2]",137.99980303859314,2.8867552853479577,-0.5875249060478429,4.913417721755076
"[880, 3.5, 0.2]",73.11480768625863,2.2627035711047063,-0.46516438868217513,4.864309534775468
"[740, 3.3, 0.1]",44.28401754387351,1.8417118718653058,-0.379094642241662,4.85818491386451
"[860, 2.9, 0.2]",131.09775050080776,2.8321953631906944,-0.5860618165887677,4.832588104230669
"[760, 2.9, 0.2]",119.34787507305197,2.7343208895119244,-0.5662982137324621,4.828411644617526
"[740, 2.7, 0.2]",139.8148897946502,2.9007739457051294,-0.6010166991926758,4.826444838557124
"[460, 2.5, 0.2]",145.88141670706952,2.946692077721472,-0.613389167301341,4.803951935906694
"[480, 2.1, 0.1]",114.1091445650798,2.6884211940865397,-0.5631818141911769,4.773629272719968
"[960, 2.5, 0.1]",52.92250437802612,1.9847210532387907,-0.41699189069339815,4.759615468632933
"[920, 3.1, 0.2]",124.62313516719766,2.7790885294914034,-0.5860618165887677,4.741971667199495
"[100, 2.9, 0.1]",72.043887626072,2.2494660726994793,-0.4777572275126063,4.708387321341202
"[620, 2.9, 0.7]",151.05238435530273,2.9847516533360205,-0.6356779380446861,4.695383424060569
"[100, 2.5, 0.1]",96.76358113189467,2.52460673311058,-0.5454701347083366,4.6283133987903655
"[460, 2.3, 0.2]",156.9309814563287,3.026889818690976,-0.6541704007702512,4.627066304325253
"[100, 2.3, 0.3]",109.8344474140166,2.6498230378182805,-0.5732220938361785,4.622681271904315
"[620, 2.9, 0.6]",143.32546715463775,2.927517755524482,-0.6356779380446861,4.605347425662407
"[840, 2.9, 0.2]",104.9946951207017,2.6047858991205484,-0.5662982137324621,4.599671755897741
"[620, 2.9, 0.5]",141.6184375497155,2.914573493053284,-0.6356779380446861,4.584984500198902
"[960, 2.3, 0.1]",71.9894971279163,2.24878996536973,-0.4925493788760831,4.565613239633151
"[760, 2.7, 0.2]",134.47996880589494,2.8591848679055123,-0.6263998570430465,4.564472414477304
"[620, 2.9, 0.4]",138.85686176103326,2.8933912427733883,-0.6356779380446861,4.551662201260778
"[980, 2.5, 0.1]",76.04314565582172,2.298197064771696,-0.5115835312694439,4.492320265018984
"[520, 2.5, 0.2]",161.10964551198472,3.056152339231595,-0.6810414537754989,4.487468893837756
"[860, 2.7, 0.1]",57.01801664119033,2.0466525183386546,-0.4571833842256081,4.476655514953459
"[860, 3.3, 0.1]",40.47032619844551,1.7720702063757838,-0.3986298401095658,4.445402797464233
"[920, 2.3, 0.1]",57.720831615778586,2.056953555935,-0.46306409711929175,4.44204931613409
"[640, 2.9, 0.4]",129.1404761541342,2.816345493073716,-0.6356779380446866,4.43045971004854
"[980, 2.3, 0.1]",58.036234370098605,2.0615468356436617,-0.4705679836305712,4.380975560084258
"[100, 2.3, 0.6]",95.284182380371,2.509676632720966,-0.5732220938361785,4.378192431358391
"[100, 2.3, 0.9]",95.284182380371,2.509676632720966,-0.5732220938361785,4.378192431358391
"[100, 2.3, 0.8]",95.284182380371,2.509676632720966,-0.5732220938361785,4.378192431358391
"[100, 2.3, 0.7]",95.284182380371,2.509676632720966,-0.5732220938361785,4.378192431358391
"[100, 2.3, 0.4]",95.284182380371,2.509676632720966,-0.5732220938361785,4.378192431358391
"[100, 2.3, 0.5]",95.284182380371,2.509676632720966,-0.5732220938361785,4.378192431358391
"[80, 1.1, 0.2]",123.33570896254676,2.7750223355694517,-0.6368470503966037,4.357439253022017
"[520, 2.3, 0.5]",130.9284072651141,2.8308308350153832,-0.657893687928587,4.302869729497487
"[520, 2.3, 0.6]",130.9284072651141,2.8308308350153832,-0.657893687928587,4.302869729497487
"[520, 2.3, 0.7]",130.9284072651141,2.8308308350153832,-0.657893687928587,4.302869729497487
"[520, 2.3, 0.8]",130.9284072651141,2.8308308350153832,-0.657893687928587,4.302869729497487
"[520, 2.3, 0.9]",130.9284072651141,2.8308308350153832,-0.657893687928587,4.302869729497487
"[480, 2.1, 0.2]",123.18508774843221,2.767023061881301,-0.6442139148744155,4.295192944444099
"[100, 2.1, 0.2]",109.18375061310057,2.643852615752698,-0.6176775560280995,4.280311936139741
"[640, 1.9, 0.4]",145.44659841003968,2.9504910381650946,-0.7003664499919154,4.212781806151841
"[620, 2.9, 0.8]",111.72051511314041,2.666984966209831,-0.6356779380446861,4.195497132421089
"[620, 2.9, 0.9]",111.72051511314041,2.666984966209831,-0.6356779380446861,4.195497132421089
"[320, 1.1, 0.6]",123.65552673326299,2.777716875963812,-0.66360867435806,4.185775417494096
"[780, 2.7, 0.2]",105.37404629235355,2.6083697084324324,-0.624489491235585,4.17680320492125
"[600, 2.9, 0.7]",107.51614555413535,2.6284330448132516,-0.6314672447641243,4.162421830438831
"[460, 2.1, 0.1]",80.36667599139125,2.348833526736472,-0.5666442515421519,4.145164307842176
"[940, 3.1, 0.2]",106.89292610491934,2.6226259442553683,-0.6344152183502794,4.1339265963310154
"[480, 2.5, 0.3]",114.99031166650717,2.696246946692858,-0.6542832626092998,4.120916888413361
"[540, 2.5, 0.2]",143.88048811886915,2.9317023640466062,-0.7131491325221626,4.110924672484963
"[480, 2.3, 0.6]",86.18845174343932,2.4139885479626937,-0.5875249060478408,4.108742494341386
"[480, 2.3, 0.7]",86.18845174343932,2.4139885479626937,-0.5875249060478408,4.108742494341386
"[480, 2.3, 0.8]",86.18845174343932,2.4139885479626937,-0.5875249060478408,4.108742494341386
