回测数据基于币安usdt现货的分钟数据
para,累计净值,年化收益,最大回撤,年化收益回撤比
"[200, 1.7, 0.2]",3096.134042741947,8.133148454468584,-0.7384651109268466,11.0135852515235
"[200, 1.5, 0.2]",2713.0930316934487,7.806804063938962,-0.7285074909555465,10.716161687917817
"[40, 3.3, 0.1]",611.2332484403175,4.856550112032089,-0.5111671385274819,9.500904393076485
"[440, 2.3, 0.1]",1245.9443391555387,6.126173045004868,-0.6455228947855641,9.490249059314802
"[40, 3.5, 0.1]",542.7147766960153,4.667813569388299,-0.502568224601684,9.287920208421108
"[160, 1.3, 0.2]",1661.3055535857964,6.693597395198948,-0.7956481163920677,8.412760939536462
"[40, 3.5, 0.2]",389.19931086912874,4.171675924994847,-0.5025682246016849,8.300715645723818
"[360, 2.3, 0.1]",729.0018911794992,5.14787087213853,-0.6225661012105448,8.268794047939302
"[100, 2.1, 0.1]",1227.4135393194522,6.096813400892762,-0.7381499462937235,8.259586594167043
"[440, 1.9, 0.1]",838.4619301791141,5.372514271428075,-0.6720050979999975,7.9947522532456965
"[220, 1.5, 0.2]",1566.0048548651062,6.56938733107354,-0.8243194898025157,7.969467436281756
"[40, 3.1, 0.1]",754.0723781363265,5.205410322061521,-0.6572832458852794,7.919584676238744
"[340, 1.9, 0.1]",1388.9755781353654,6.3427638688924075,-0.8015742940040387,7.91288333013889
"[140, 1.1, 0.2]",1234.6217451950397,6.089429262129411,-0.7710094551455267,7.897995571247621
"[160, 1.1, 0.2]",1110.9508677926988,5.8862363020472985,-0.7459636031484308,7.890782173826869
"[420, 2.5, 0.1]",498.9568194944713,4.538049917567939,-0.5800132327316451,7.824045489782058
"[200, 1.7, 0.4]",1103.430154906312,5.873360947401248,-0.7514809085285709,7.815715450311997
"[80, 2.7, 0.1]",465.94725072616535,4.434590795785223,-0.5698676266730154,7.781791047993236
"[200, 1.7, 0.5]",1085.8115049872513,5.842947188647269,-0.7514809085285715,7.775243685282683
"[200, 1.7, 0.6]",1085.8115049872513,5.842947188647269,-0.7514809085285715,7.775243685282683
"[200, 1.7, 0.9]",1085.8115049872513,5.842947188647269,-0.7514809085285715,7.775243685282683
"[200, 1.7, 0.8]",1085.8115049872513,5.842947188647269,-0.7514809085285715,7.775243685282683
"[200, 1.7, 0.7]",1085.8115049872513,5.842947188647269,-0.7514809085285715,7.775243685282683
"[240, 1.7, 0.2]",935.8477219610462,5.56838952900364,-0.71617104691639,7.7752229065659595
"[440, 1.9, 0.2]",868.5561208396433,5.434728116595773,-0.7064734091862384,7.692756791590845
"[400, 2.3, 0.1]",550.0066140547576,4.688693234466014,-0.6112079160845286,7.6711919317117925
"[200, 3.7, 0.2]",325.168780197327,3.921797178763118,-0.5143091099188376,7.625369846903959
"[180, 1.3, 0.2]",1328.4204821043681,6.233910034024977,-0.8255396277073955,7.551315315216493
"[520, 1.9, 0.1]",748.676231657675,5.176727261188852,-0.6870217151650435,7.5350271278474
"[340, 2.3, 0.1]",590.4416931076108,4.800973558809685,-0.6377019334952867,7.528554182822106
"[180, 1.1, 0.2]",1371.4079987212408,6.297662647948722,-0.8384860775993208,7.510753984108637
"[420, 2.3, 0.1]",604.9876991172703,4.840001376906351,-0.6455228947855645,7.497799715553304
"[260, 1.7, 0.2]",781.8169078233925,5.250879710657142,-0.7031830367579166,7.467301450937662
"[180, 4.3, 0.2]",291.45596185872625,3.7755880752006314,-0.5073712915372516,7.441469665658891
"[180, 3.7, 0.4]",302.1968262968896,3.823442618769164,-0.5169140419550681,7.396670062024569
"[500, 1.9, 0.1]",728.0129792553543,5.1292814071790485,-0.708516634669818,7.239465040322433
"[420, 2.1, 0.2]",666.3087181070033,4.997427480193859,-0.6920100823349848,7.22161079406749
"[940, 3.1, 0.1]",335.0421185832675,3.9625261531361042,-0.548796161404558,7.220396992199504
"[160, 1.3, 0.1]",728.274969670677,5.1298890446009,-0.7113511527255296,7.211472175093579
"[120, 3.7, 0.1]",463.1914230003471,4.425715965142267,-0.6265475844377034,7.0636549801945785
"[180, 3.7, 0.2]",278.11658660655314,3.7143434209994837,-0.5273397999965538,7.043548431246338
"[380, 1.9, 0.2]",1052.5351474808845,5.784515243995209,-0.8290975567623922,6.976881305239416
"[180, 3.7, 0.3]",247.97833871331483,3.5676934186791014,-0.5169140419550681,6.901908497562574
